k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
50,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.9704958041032737,0.8833108310469149,2.1836771452773745e-11,0.8874015647008684,1.3152171121077282e-11
50,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.9897033426491786,0.9237848959259298,4.84005315768558e-14,0.874817389579828,5.906296689355345e-11
50,distance,fasttext,ar_gpt2_sent.vec,vec,4,1.047483020153145,0.8097198384966175,1.9935414034620383e-08,0.8039275376508235,2.9986607424367946e-08
50,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.9219524708145048,0.8035206088916779,3.084351022458879e-08,0.8245325086833208,6.570403244884842e-09
50,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.9714815952167308,0.8540851447245315,1.0237125321670318e-08,0.8510735406195297,7.3433300972801385e-09
55,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.9519209023879666,0.8420781760328633,8.133597265380834e-10,0.8454659689074113,5.957567841663134e-10
55,distance,fasttext,ar_gpt2_sent.vec,vec,2,1.0118761985953801,0.8834280877492595,2.1527391489499994e-11,0.8756649042047213,5.3655930785233096e-11
55,distance,fasttext,ar_gpt2_sent.vec,vec,3,1.0138949133477566,0.927265518440233,2.4580932947502882e-14,0.8801404496507083,3.1936343705642316e-11
55,distance,fasttext,ar_gpt2_sent.vec,vec,4,1.0615800159530355,0.8318548423459211,3.6516408482541756e-09,0.8125521882487666,1.624551624474824e-08
55,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.9493092533896645,0.7951259844819457,5.438349514018908e-08,0.7797946985612995,1.436732969022573e-07
55,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.9977162567347605,0.8559505218100444,1.1774009537480758e-08,0.8387236419145815,3.2120032441132545e-08
60,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.9746127873202796,0.8349269225540821,1.533308337909603e-09,0.8459674315224217,5.685669791307141e-10
60,distance,fasttext,ar_gpt2_sent.vec,vec,2,1.0292805188866574,0.8896651962828519,9.85113526202505e-12,0.8564094455782298,4.0669214632708774e-10
60,distance,fasttext,ar_gpt2_sent.vec,vec,3,1.0458011671505114,0.9195084060953194,1.0662658959400431e-13,0.8871154938815167,1.3635436458693116e-11
60,distance,fasttext,ar_gpt2_sent.vec,vec,4,1.0970080355557714,0.8255460799360539,6.0671302632044355e-09,0.8259479221562102,5.877615138572269e-09
60,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.974896486086458,0.7659545419411419,3.240713956970933e-07,0.7623762888826435,3.9637528542319534e-07
60,distance,fasttext,ar_gpt2_sent.vec,vec,all,1.0243197989999355,0.8471202293618898,6.633635841201179e-08,0.8355633164042044,8.064835902473683e-08
65,distance,fasttext,ar_gpt2_sent.vec,vec,1,1.003089470793361,0.8243763907346507,3.7062153286111986e-09,0.8277476231770464,2.8135839711629934e-09
65,distance,fasttext,ar_gpt2_sent.vec,vec,2,1.0603998622489352,0.8714539300247341,8.587790334864973e-11,0.8344032071479544,2.9569346933460122e-09
65,distance,fasttext,ar_gpt2_sent.vec,vec,3,1.0838863078415468,0.9059884655816659,9.982569961298012e-13,0.8821595414017318,2.5100697308971702e-11
65,distance,fasttext,ar_gpt2_sent.vec,vec,4,1.1171678336229889,0.8152657392441383,1.3309583534063972e-08,0.8173232715582671,1.141778883705104e-08
65,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.9967358026662456,0.7699002570874443,2.58465478550834e-07,0.7605427720743639,4.388758659388592e-07
65,distance,fasttext,ar_gpt2_sent.vec,vec,all,1.0522558554346155,0.8373969565345266,5.511363071477079e-08,0.8244352830718726,9.121785482754565e-08
70,distance,fasttext,ar_gpt2_sent.vec,vec,1,1.0208459148237452,0.8126156175243686,9.277686503433211e-09,0.834768099787191,1.5545196979990476e-09
70,distance,fasttext,ar_gpt2_sent.vec,vec,2,1.0918466250146048,0.8667682798470833,1.4221297900502514e-10,0.8428389318795599,1.4325963210208769e-09
